,0
376,px_94_face
377,py_94_face
378,dx_94_face
379,dy_94_face
380,px_95_face
381,py_95_face
382,dx_95_face
383,dy_95_face
384,px_96_face
385,py_96_face
386,dx_96_face
387,dy_96_face
388,px_97_face
389,py_97_face
390,dx_97_face
391,dy_97_face
392,px_98_face
393,py_98_face
394,dx_98_face
395,dy_98_face
396,px_99_face
397,py_99_face
398,dx_99_face
399,dy_99_face
400,px_100_face
401,py_100_face
402,dx_100_face
403,dy_100_face
404,px_101_face
405,py_101_face
406,dx_101_face
407,dy_101_face
408,px_102_face
409,py_102_face
410,dx_102_face
411,dy_102_face
412,px_103_face
413,py_103_face
414,dx_103_face
415,dy_103_face
416,px_104_face
417,py_104_face
418,dx_104_face
419,dy_104_face
420,px_105_face
421,py_105_face
422,dx_105_face
423,dy_105_face
424,px_106_face
425,py_106_face
426,dx_106_face
427,dy_106_face
428,px_107_face
429,py_107_face
430,dx_107_face
431,dy_107_face
432,px_108_face
433,py_108_face
434,dx_108_face
435,dy_108_face
436,px_109_face
437,py_109_face
438,dx_109_face
439,dy_109_face
440,px_110_face
441,py_110_face
442,dx_110_face
443,dy_110_face
444,px_111_face
445,py_111_face
446,dx_111_face
447,dy_111_face
448,px_112_face
449,py_112_face
450,dx_112_face
451,dy_112_face
452,px_113_face
453,py_113_face
454,dx_113_face
455,dy_113_face
456,px_114_face
457,py_114_face
458,dx_114_face
459,dy_114_face
460,px_115_face
461,py_115_face
462,dx_115_face
463,dy_115_face
464,px_116_face
465,py_116_face
466,dx_116_face
467,dy_116_face
468,px_117_face
469,py_117_face
470,dx_117_face
471,dy_117_face
472,px_118_face
473,py_118_face
474,dx_118_face
475,dy_118_face
476,px_119_face
477,py_119_face
478,dx_119_face
479,dy_119_face
480,px_120_face
481,py_120_face
482,dx_120_face
483,dy_120_face
484,px_121_face
485,py_121_face
486,dx_121_face
487,dy_121_face
488,px_122_face
489,py_122_face
490,dx_122_face
491,dy_122_face
492,px_123_face
493,py_123_face
494,dx_123_face
495,dy_123_face
496,px_124_face
497,py_124_face
498,dx_124_face
499,dy_124_face
500,px_125_face
501,py_125_face
502,dx_125_face
503,dy_125_face
504,px_126_face
505,py_126_face
506,dx_126_face
507,dy_126_face
508,px_127_face
509,py_127_face
510,dx_127_face
511,dy_127_face
512,px_128_face
513,py_128_face
514,dx_128_face
515,dy_128_face
516,px_129_face
517,py_129_face
518,dx_129_face
519,dy_129_face
520,px_130_face
521,py_130_face
522,dx_130_face
523,dy_130_face
524,px_131_face
525,py_131_face
526,dx_131_face
527,dy_131_face
528,px_132_face
529,py_132_face
530,dx_132_face
531,dy_132_face
532,px_133_face
533,py_133_face
534,dx_133_face
535,dy_133_face
536,px_134_face
537,py_134_face
538,dx_134_face
539,dy_134_face
540,px_135_face
541,py_135_face
542,dx_135_face
543,dy_135_face
544,px_136_face
545,py_136_face
546,dx_136_face
547,dy_136_face
548,px_137_face
549,py_137_face
550,dx_137_face
551,dy_137_face
552,px_138_face
553,py_138_face
554,dx_138_face
555,dy_138_face
556,px_139_face
557,py_139_face
558,dx_139_face
559,dy_139_face
560,px_140_face
561,py_140_face
562,dx_140_face
563,dy_140_face
564,px_141_face
565,py_141_face
566,dx_141_face
567,dy_141_face
568,px_142_face
569,py_142_face
570,dx_142_face
571,dy_142_face
572,px_143_face
573,py_143_face
574,dx_143_face
575,dy_143_face
576,px_144_face
577,py_144_face
578,dx_144_face
579,dy_144_face
580,px_145_face
581,py_145_face
582,dx_145_face
583,dy_145_face
584,px_146_face
585,py_146_face
586,dx_146_face
587,dy_146_face
588,px_147_face
589,py_147_face
590,dx_147_face
591,dy_147_face
592,px_148_face
593,py_148_face
594,dx_148_face
595,dy_148_face
596,px_149_face
597,py_149_face
598,dx_149_face
599,dy_149_face
600,px_150_face
601,py_150_face
602,dx_150_face
603,dy_150_face
604,px_151_face
605,py_151_face
606,dx_151_face
607,dy_151_face
608,px_152_face
609,py_152_face
610,dx_152_face
611,dy_152_face
612,px_153_face
613,py_153_face
614,dx_153_face
